| schema_name    |
| -------------- |
| auth           |
| backup         |
| extensions     |
| graphql        |
| graphql_public |
| public         |
| realtime       |
| storage        |
| vault          || table_name                  | ordinal_position | column_name            | data_type                | pg_type             | is_nullable | column_default                 |
| --------------------------- | ---------------- | ---------------------- | ------------------------ | ------------------- | ----------- | ------------------------------ |
| gcash_transactions          | 6                | total_amount           | numeric                  | numeric             | NO          | null                           |
| gcash_transactions          | 7                | status                 | text                     | text                | NO          | 'pending'::text                |
| gcash_transactions          | 8                | completed_at           | timestamp with time zone | timestamptz         | YES         | null                           |
| gcash_transactions          | 9                | completed_by           | uuid                     | uuid                | YES         | null                           |
| gcash_transactions          | 10               | student_name           | text                     | text                | NO          | null                           |
| gcash_transactions          | 11               | student_contact        | text                     | text                | NO          | null                           |
| gcash_transactions          | 12               | payment_proof_url      | text                     | text                | YES         | null                           |
| gcash_transactions          | 13               | notes                  | text                     | text                | YES         | null                           |
| inventory_batch_lines_admin | 1                | batch_id               | uuid                     | uuid                | YES         | null                           |
| inventory_batch_lines_admin | 2                | batch_code             | text                     | text                | YES         | null                           |
| inventory_batch_lines_admin | 3                | product_id             | uuid                     | uuid                | YES         | null                           |
| inventory_batch_lines_admin | 4                | product_name           | text                     | text                | YES         | null                           |
| inventory_batch_lines_admin | 5                | qty_received           | integer                  | int4                | YES         | null                           |
| inventory_batch_lines_admin | 6                | qty_remaining          | integer                  | int4                | YES         | null                           |
| inventory_batch_lines_admin | 7                | unit_cost_cents        | integer                  | int4                | YES         | null                           |
| inventory_batch_lines_admin | 8                | line_cost_cents        | bigint                   | int8                | YES         | null                           |
| inventory_batches           | 1                | id                     | uuid                     | uuid                | NO          | gen_random_uuid()              |
| inventory_batches           | 2                | created_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| inventory_batches           | 3                | created_by             | uuid                     | uuid                | YES         | null                           |
| inventory_batches           | 4                | note                   | text                     | text                | YES         | null                           |
| inventory_batches           | 5                | batch_code             | text                     | text                | NO          | null                           |
| inventory_batches           | 6                | supplier_name          | text                     | text                | YES         | null                           |
| inventory_batches           | 7                | receipt_reference      | text                     | text                | YES         | null                           |
| inventory_batches           | 8                | expiry_date            | date                     | date                | YES         | null                           |
| inventory_batches           | 9                | status                 | text                     | text                | YES         | 'active'::text                 |
| inventory_batches_admin     | 1                | batch_id               | uuid                     | uuid                | YES         | null                           |
| inventory_batches_admin     | 2                | batch_code             | text                     | text                | YES         | null                           |
| inventory_batches_admin     | 3                | created_at             | timestamp with time zone | timestamptz         | YES         | null                           |
| inventory_batches_admin     | 4                | note                   | text                     | text                | YES         | null                           |
| inventory_batches_admin     | 5                | distinct_products      | bigint                   | int8                | YES         | null                           |
| inventory_batches_admin     | 6                | total_units_received   | bigint                   | int8                | YES         | null                           |
| inventory_batches_admin     | 7                | total_cost_cents       | bigint                   | int8                | YES         | null                           |
| inventory_lots              | 1                | id                     | uuid                     | uuid                | NO          | gen_random_uuid()              |
| inventory_lots              | 2                | batch_id               | uuid                     | uuid                | NO          | null                           |
| inventory_lots              | 3                | product_id             | uuid                     | uuid                | NO          | null                           |
| inventory_lots              | 4                | created_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| inventory_lots              | 5                | qty_received           | integer                  | int4                | NO          | null                           |
| inventory_lots              | 6                | qty_remaining          | integer                  | int4                | NO          | null                           |
| inventory_lots              | 7                | unit_cost_cents        | integer                  | int4                | NO          | null                           |
| order_item_lot_allocations  | 1                | id                     | uuid                     | uuid                | NO          | gen_random_uuid()              |
| order_item_lot_allocations  | 2                | created_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| order_item_lot_allocations  | 3                | order_id               | uuid                     | uuid                | NO          | null                           |
| order_item_lot_allocations  | 4                | product_id             | uuid                     | uuid                | NO          | null                           |
| order_item_lot_allocations  | 5                | lot_id                 | uuid                     | uuid                | NO          | null                           |
| order_item_lot_allocations  | 6                | qty                    | integer                  | int4                | NO          | null                           |
| order_item_lot_allocations  | 7                | unit_cost_cents        | integer                  | int4                | NO          | null                           |
| order_items                 | 1                | id                     | uuid                     | uuid                | NO          | gen_random_uuid()              |
| order_items                 | 2                | order_id               | uuid                     | uuid                | NO          | null                           |
| order_items                 | 3                | product_id             | uuid                     | uuid                | NO          | null                           |
| order_items                 | 4                | name_snapshot          | text                     | text                | NO          | null                           |
| order_items                 | 5                | category_snapshot      | text                     | text                | NO          | null                           |
| order_items                 | 6                | unit_price_cents       | integer                  | int4                | NO          | null                           |
| order_items                 | 7                | unit_cost_cents        | integer                  | int4                | NO          | null                           |
| order_items                 | 8                | qty                    | integer                  | int4                | NO          | null                           |
| order_items                 | 9                | line_total_cents       | integer                  | int4                | NO          | null                           |
| order_items                 | 10               | created_at             | timestamp with time zone | timestamptz         | NO          | now()                          |
| order_profit                | 1                | order_id               | uuid                     | uuid                | YES         | null                           |
| order_profit                | 2                | order_code             | text                     | text                | YES         | null                           |
